<NUMBER OF ZONES> 135										
<NUMBER OF NODES> 1067										
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 2535										
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	30.0	282.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	31.0	260.0	9999999999.0	3.0	3.0	0.166666667	0.0	0	0	1	;
	31.0	262.0	9999999999.0	2.68	2.68	0.25	0.0	0	0	1	;
	32.0	282.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	33.0	309.0	9999999999.0	1.38	1.38	0.166666667	0.0	0	0	1	;
	33.0	310.0	9999999999.0	1.38	1.38	0.166666667	0.0	0	0	1	;
	33.0	326.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	33.0	327.0	9999999999.0	1.2	1.2	0.25	0.0	0	0	1	;
	34.0	308.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	35.0	409.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	36.0	330.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	37.0	333.0	9999999999.0	0.84	0.84	0.25	0.0	0	0	1	;
	38.0	323.0	9999999999.0	2.56	2.56	0.25	0.0	0	0	1	;
	38.0	376.0	9999999999.0	2.96	2.96	0.25	0.0	0	0	1	;
	38.0	382.0	9999999999.0	3.0	3.0	0.166666667	0.0	0	0	1	;
	38.0	387.0	9999999999.0	2.56	2.56	0.25	0.0	0	0	1	;
	39.0	362.0	9999999999.0	0.56	0.56	0.25	0.0	0	0	1	;
	40.0	364.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	41.0	337.0	9999999999.0	0.48	0.48	0.25	0.0	0	0	1	;
	42.0	338.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	42.0	339.0	9999999999.0	1.74	1.74	0.166666667	0.0	0	0	1	;
	43.0	368.0	9999999999.0	1.74	1.74	0.166666667	0.0	0	0	1	;
	44.0	347.0	9999999999.0	1.98	1.98	0.166666667	0.0	0	0	1	;
	44.0	348.0	9999999999.0	2.16	2.16	0.166666667	0.0	0	0	1	;
	44.0	359.0	9999999999.0	2.28	2.28	0.166666667	0.0	0	0	1	;
	45.0	388.0	9999999999.0	2.04	2.04	0.25	0.0	0	0	1	;
	45.0	399.0	9999999999.0	2.04	2.04	0.25	0.0	0	0	1	;
	46.0	351.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	46.0	356.0	9999999999.0	1.32	1.32	0.25	0.0	0	0	1	;
	46.0	372.0	9999999999.0	4.56	4.56	0.25	0.0	0	0	1	;
	47.0	416.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	47.0	417.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	47.0	418.0	9999999999.0	2.4	2.4	0.166666667	0.0	0	0	1	;
	48.0	425.0	9999999999.0	1.02	1.02	0.166666667	0.0	0	0	1	;
	49.0	502.0	9999999999.0	0.44	0.44	0.25	0.0	0	0	1	;
	50.0	427.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	51.0	426.0	9999999999.0	1.68	1.68	0.166666667	0.0	0	0	1	;
	51.0	435.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	52.0	436.0	9999999999.0	1.56	1.56	0.166666667	0.0	0	0	1	;
	52.0	498.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	52.0	501.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	52.0	503.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	53.0	449.0	9999999999.0	1.08	1.08	0.166666667	0.0	0	0	1	;
	54.0	443.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	54.0	446.0	9999999999.0	0.84	0.84	0.25	0.0	0	0	1	;
	54.0	450.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	55.0	444.0	9999999999.0	1.56	1.56	0.166666667	0.0	0	0	1	;
	55.0	489.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	55.0	493.0	9999999999.0	2.84	2.84	0.25	0.0	0	0	1	;
	56.0	442.0	9999999999.0	2.04	2.04	0.166666667	0.0	0	0	1	;
	56.0	1067.0	9999999999.0	3.4	3.4	0.25	0.0	0	0	1	;
	57.0	451.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	58.0	452.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	58.0	489.0	9999999999.0	1.98	1.98	0.166666667	0.0	0	0	1	;
	59.0	458.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	60.0	544.0	9999999999.0	0.84	0.84	0.25	0.0	0	0	1	;
	61.0	542.0	9999999999.0	1.12	1.12	0.25	0.0	0	0	1	;
	62.0	461.0	9999999999.0	2.28	2.28	0.25	0.0	0	0	1	;
	62.0	469.0	9999999999.0	2.46	2.46	0.166666667	0.0	0	0	1	;
	63.0	456.0	9999999999.0	2.46	2.46	0.166666667	0.0	0	0	1	;
	63.0	480.0	9999999999.0	2.48	2.48	0.25	0.0	0	0	1	;
	63.0	483.0	9999999999.0	2.46	2.46	0.166666667	0.0	0	0	1	;
	64.0	462.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	64.0	478.0	9999999999.0	1.52	1.52	0.25	0.0	0	0	1	;
	64.0	480.0	9999999999.0	3.0	3.0	0.166666667	0.0	0	0	1	;
	65.0	472.0	9999999999.0	1.0	1.0	0.25	0.0	0	0	1	;
	66.0	508.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	66.0	513.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	66.0	522.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	66.0	523.0	9999999999.0	1.74	1.74	0.166666667	0.0	0	0	1	;
	67.0	523.0	9999999999.0	1.98	1.98	0.166666667	0.0	0	0	1	;
	67.0	528.0	9999999999.0	1.0	1.0	0.25	0.0	0	0	1	;
	68.0	521.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	68.0	525.0	9999999999.0	0.96	0.96	0.166666667	0.0	0	0	1	;
	69.0	514.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	69.0	521.0	9999999999.0	1.74	1.74	0.166666667	0.0	0	0	1	;
	70.0	531.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	70.0	538.0	9999999999.0	2.64	2.64	0.25	0.0	0	0	1	;
	71.0	532.0	9999999999.0	1.38	1.38	0.166666667	0.0	0	0	1	;
	71.0	536.0	9999999999.0	2.1	2.1	0.166666667	0.0	0	0	1	;
	72.0	519.0	9999999999.0	0.44	0.44	0.25	0.0	0	0	1	;
	73.0	515.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	73.0	520.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	73.0	526.0	9999999999.0	2.04	2.04	0.166666667	0.0	0	0	1	;
	74.0	550.0	9999999999.0	1.86	1.86	0.166666667	0.0	0	0	1	;
	74.0	580.0	9999999999.0	1.68	1.68	0.25	0.0	0	0	1	;
	74.0	582.0	9999999999.0	2.16	2.16	0.166666667	0.0	0	0	1	;
	75.0	578.0	9999999999.0	1.52	1.52	0.25	0.0	0	0	1	;
	76.0	552.0	9999999999.0	2.88	2.88	0.166666667	0.0	0	0	1	;
	76.0	576.0	9999999999.0	2.1	2.1	0.166666667	0.0	0	0	1	;
	77.0	558.0	9999999999.0	2.1	2.1	0.166666667	0.0	0	0	1	;
	77.0	570.0	9999999999.0	1.74	1.74	0.166666667	0.0	0	0	1	;
	78.0	572.0	9999999999.0	2.08	2.08	0.25	0.0	0	0	1	;
	79.0	559.0	9999999999.0	1.98	1.98	0.166666667	0.0	0	0	1	;
	80.0	693.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	80.0	694.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	80.0	695.0	9999999999.0	1.02	1.02	0.166666667	0.0	0	0	1	;
	81.0	592.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	81.0	593.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	81.0	601.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	82.0	690.0	9999999999.0	1.08	1.08	0.166666667	0.0	0	0	1	;
	82.0	692.0	9999999999.0	1.08	1.08	0.166666667	0.0	0	0	1	;
	83.0	603.0	9999999999.0	0.78	0.78	0.166666667	0.0	0	0	1	;
	84.0	605.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	84.0	680.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	84.0	684.0	9999999999.0	0.88	0.88	0.25	0.0	0	0	1	;
	84.0	685.0	9999999999.0	0.88	0.88	0.25	0.0	0	0	1	;
	85.0	672.0	9999999999.0	0.68	0.68	0.25	0.0	0	0	1	;
	85.0	678.0	9999999999.0	0.72	0.72	0.166666667	0.0	0	0	1	;
	86.0	609.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	87.0	667.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	88.0	611.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	88.0	658.0	9999999999.0	1.56	1.56	0.166666667	0.0	0	0	1	;
	89.0	615.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	90.0	613.0	9999999999.0	1.86	1.86	0.166666667	0.0	0	0	1	;
	90.0	652.0	9999999999.0	1.76	1.76	0.25	0.0	0	0	1	;
	90.0	653.0	9999999999.0	1.86	1.86	0.166666667	0.0	0	0	1	;
	90.0	657.0	9999999999.0	1.76	1.76	0.25	0.0	0	0	1	;
	91.0	616.0	9999999999.0	2.16	2.16	0.166666667	0.0	0	0	1	;
	91.0	649.0	9999999999.0	2.04	2.04	0.166666667	0.0	0	0	1	;
	92.0	619.0	9999999999.0	2.7	2.7	0.166666667	0.0	0	0	1	;
	92.0	640.0	9999999999.0	1.32	1.32	0.25	0.0	0	0	1	;
	93.0	636.0	9999999999.0	3.0	3.0	0.25	0.0	0	0	1	;
	93.0	645.0	9999999999.0	4.52	4.52	0.25	0.0	0	0	1	;
	94.0	618.0	9999999999.0	2.58	2.58	0.166666667	0.0	0	0	1	;
	95.0	628.0	9999999999.0	2.28	2.28	0.166666667	0.0	0	0	1	;
	95.0	635.0	9999999999.0	2.4	2.4	0.25	0.0	0	0	1	;
	96.0	737.0	9999999999.0	0.4	0.4	0.25	0.0	0	0	1	;
	97.0	688.0	9999999999.0	1.04	1.04	0.25	0.0	0	0	1	;
	97.0	699.0	9999999999.0	1.68	1.68	0.166666667	0.0	0	0	1	;
	97.0	701.0	9999999999.0	1.32	1.32	0.25	0.0	0	0	1	;
	97.0	1066.0	9999999999.0	1.32	1.32	0.25	0.0	0	0	1	;
	98.0	698.0	9999999999.0	1.68	1.68	0.166666667	0.0	0	0	1	;
	98.0	731.0	9999999999.0	1.08	1.08	0.166666667	0.0	0	0	1	;
	98.0	734.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	99.0	740.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	99.0	742.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	100.0	681.0	9999999999.0	2.1	2.1	0.166666667	0.0	0	0	1	;
	100.0	701.0	9999999999.0	1.6	1.6	0.25	0.0	0	0	1	;
	100.0	717.0	9999999999.0	1.98	1.98	0.166666667	0.0	0	0	1	;
	100.0	1066.0	9999999999.0	1.6	1.6	0.25	0.0	0	0	1	;
	101.0	728.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	101.0	744.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	102.0	764.0	9999999999.0	0.72	0.72	0.25	0.0	0	0	1	;
	102.0	766.0	9999999999.0	2.4	2.4	0.166666667	0.0	0	0	1	;
	103.0	712.0	9999999999.0	0.68	0.68	0.25	0.0	0	0	1	;
	103.0	713.0	9999999999.0	0.92	0.92	0.25	0.0	0	0	1	;
	104.0	745.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	104.0	749.0	9999999999.0	1.44	1.44	0.166666667	0.0	0	0	1	;
	104.0	750.0	9999999999.0	0.96	0.96	0.25	0.0	0	0	1	;
	105.0	709.0	9999999999.0	1.38	1.38	0.166666667	0.0	0	0	1	;
	106.0	754.0	9999999999.0	1.48	1.48	0.25	0.0	0	0	1	;
	106.0	797.0	9999999999.0	2.48	2.48	0.25	0.0	0	0	1	;
	106.0	801.0	9999999999.0	1.72	1.72	0.25	0.0	0	0	1	;
	107.0	775.0	9999999999.0	0.96	0.96	0.25	0.0	0	0	1	;
	107.0	786.0	9999999999.0	1.08	1.08	0.25	0.0	0	0	1	;
	108.0	779.0	9999999999.0	0.68	0.68	0.25	0.0	0	0	1	;
	108.0	780.0	9999999999.0	0.84	0.84	0.25	0.0	0	0	1	;
	109.0	769.0	9999999999.0	1.38	1.38	0.166666667	0.0	0	0	1	;
	109.0	789.0	9999999999.0	1.12	1.12	0.25	0.0	0	0	1	;
	110.0	818.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	110.0	820.0	9999999999.0	2.04	2.04	0.166666667	0.0	0	0	1	;
	110.0	823.0	9999999999.0	1.68	1.68	0.166666667	0.0	0	0	1	;
	110.0	835.0	9999999999.0	1.04	1.04	0.25	0.0	0	0	1	;
	111.0	815.0	9999999999.0	1.86	1.86	0.166666667	0.0	0	0	1	;
	111.0	824.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	111.0	825.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	111.0	831.0	9999999999.0	0.96	0.96	0.25	0.0	0	0	1	;
	112.0	825.0	9999999999.0	1.68	1.68	0.166666667	0.0	0	0	1	;
	112.0	826.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	113.0	793.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	113.0	794.0	9999999999.0	0.96	0.96	0.25	0.0	0	0	1	;
	114.0	791.0	9999999999.0	2.16	2.16	0.166666667	0.0	0	0	1	;
	114.0	822.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	114.0	838.0	9999999999.0	2.16	2.16	0.166666667	0.0	0	0	1	;
	115.0	835.0	9999999999.0	2.16	2.16	0.166666667	0.0	0	0	1	;
	115.0	845.0	9999999999.0	1.98	1.98	0.166666667	0.0	0	0	1	;
	116.0	848.0	9999999999.0	0.52	0.52	0.25	0.0	0	0	1	;
	117.0	851.0	9999999999.0	0.8	0.8	0.25	0.0	0	0	1	;
	117.0	852.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	118.0	856.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	118.0	869.0	9999999999.0	1.88	1.88	0.25	0.0	0	0	1	;
	119.0	854.0	9999999999.0	1.38	1.38	0.166666667	0.0	0	0	1	;
	119.0	878.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	120.0	839.0	9999999999.0	2.1	2.1	0.166666667	0.0	0	0	1	;
	120.0	845.0	9999999999.0	2.08	2.08	0.25	0.0	0	0	1	;
	120.0	858.0	9999999999.0	2.08	2.08	0.25	0.0	0	0	1	;
	121.0	868.0	9999999999.0	2.28	2.28	0.25	0.0	0	0	1	;
	121.0	876.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	122.0	874.0	9999999999.0	1.56	1.56	0.166666667	0.0	0	0	1	;
	123.0	866.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	124.0	871.0	9999999999.0	1.12	1.12	0.25	0.0	0	0	1	;
	125.0	644.0	9999999999.0	2.12	2.12	0.25	0.0	0	0	1	;
	126.0	797.0	9999999999.0	1.2	1.2	0.25	0.0	0	0	1	;
	126.0	799.0	9999999999.0	1.2	1.2	0.25	0.0	0	0	1	;
	127.0	369.0	9999999999.0	3.4	3.4	0.25	0.0	0	0	1	;
	127.0	400.0	9999999999.0	3.64	3.64	0.25	0.0	0	0	1	;
	127.0	408.0	9999999999.0	3.0	3.0	0.25	0.0	0	0	1	;
	128.0	583.0	9999999999.0	2.84	2.84	0.25	0.0	0	0	1	;
	128.0	590.0	9999999999.0	2.84	2.84	0.25	0.0	0	0	1	;
	129.0	584.0	9999999999.0	3.4	3.4	0.25	0.0	0	0	1	;
	129.0	589.0	9999999999.0	3.4	3.4	0.25	0.0	0	0	1	;
	130.0	585.0	9999999999.0	3.8	3.8	0.25	0.0	0	0	1	;
	130.0	588.0	9999999999.0	3.8	3.8	0.25	0.0	0	0	1	;
	131.0	654.0	9999999999.0	1.12	1.12	0.25	0.0	0	0	1	;
	132.0	186.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	133.0	223.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	134.0	272.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	135.0	405.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	136.0	375.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	136.0	407.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	137.0	354.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	138.0	476.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	139.0	546.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	140.0	563.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	140.0	564.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	141.0	586.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	141.0	587.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	142.0	757.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	143.0	758.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	144.0	759.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	145.0	863.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	146.0	870.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	147.0	1037.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	147.0	1062.0	9999999999.0	0.78	0.78	0.166666667	0.0	0	0	1	;
	148.0	207.0	9999999999.0	1.92	1.92	0.166666667	0.0	0	0	1	;
	148.0	227.0	9999999999.0	1.52	1.52	0.25	0.0	0	0	1	;
	149.0	248.0	9999999999.0	2.04	2.04	0.166666667	0.0	0	0	1	;
	149.0	250.0	9999999999.0	1.88	1.88	0.25	0.0	0	0	1	;
	150.0	353.0	9999999999.0	3.0	3.0	0.25	0.0	0	0	1	;
	150.0	374.0	9999999999.0	3.0	3.0	0.25	0.0	0	0	1	;
	151.0	479.0	9999999999.0	3.96	3.96	0.25	0.0	0	0	1	;
	152.0	478.0	9999999999.0	3.96	3.96	0.25	0.0	0	0	1	;
	153.0	477.0	9999999999.0	3.0	3.0	0.25	0.0	0	0	1	;
	154.0	562.0	9999999999.0	2.0	2.0	0.25	0.0	0	0	1	;
	154.0	565.0	9999999999.0	6.0	6.0	0.25	0.0	0	0	1	;
	165.0	166.0	2258.87	0.16997	0.16997	0.588339119	5.5226	0	0	1	;
	165.0	1055.0	2258.87	0.390931	0.390931	0.588339119	5.5226	0	0	1	;
	166.0	165.0	2258.87	0.16997	0.16997	0.588339119	5.5226	0	0	1	;
	166.0	167.0	2258.87	0.152973	0.152973	0.588339119	5.5226	0	0	1	;
	167.0	166.0	2258.87	0.152973	0.152973	0.588339119	5.5226	0	0	1	;
	167.0	168.0	2258.87	0.101982	0.101982	0.588339119	5.5226	0	0	1	;
	167.0	203.0	519.21	1.56522	1.56522	0.383332694	4.4683	0	0	1	;
	168.0	167.0	2258.87	0.101982	0.101982	0.588339119	5.5226	0	0	1	;
	168.0	169.0	1197.6	0.462975	0.462975	0.53998596	4.9432	0	0	1	;
	168.0	202.0	519.21	0.730436	0.730436	0.383332694	4.4683	0	0	1	;
	169.0	168.0	1796.41	0.462975	0.462975	0.53998596	4.9432	0	0	1	;
	169.0	170.0	1197.6	0.240747	0.240747	0.53998596	4.9432	0	0	1	;
	169.0	812.0	655.95	1.539133	1.539133	0.383332694	3.5038	0	0	1	;
	170.0	169.0	1796.41	0.240747	0.240747	0.53998596	4.9432	0	0	1	;
	170.0	171.0	1197.6	0.240747	0.240747	0.53998596	4.9432	0	0	1	;
	170.0	200.0	327.98	1.513046	1.513046	0.383332694	3.5038	0	0	1	;
	171.0	11.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	171.0	170.0	1796.41	0.240747	0.240747	0.53998596	4.9432	0	0	1	;
	171.0	172.0	1197.6	0.444456	0.444456	0.53998596	4.9432	0	0	1	;
	172.0	12.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	172.0	171.0	1796.41	0.444456	0.444456	0.53998596	4.9432	0	0	1	;
	172.0	173.0	1197.6	0.481494	0.481494	0.53998596	4.9432	0	0	1	;
	173.0	172.0	1796.41	0.481494	0.481494	0.53998596	4.9432	0	0	1	;
	173.0	174.0	1197.6	1.055583	1.055583	0.53998596	4.9432	0	0	1	;
	173.0	197.0	519.21	1.643481	1.643481	0.383332694	4.4683	0	0	1	;
	174.0	14.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	174.0	173.0	1796.41	1.055583	1.055583	0.53998596	4.9432	0	0	1	;
	174.0	175.0	1197.6	0.277785	0.277785	0.53998596	4.9432	0	0	1	;
	175.0	13.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
